Device ID, Number of Objects Stored, Number of Objects Expected
0,249,240.023
1,258,240.023
2,230,240.023
3,251,240.023
4,241,240.023
5,243,240.023
6,238,240.023
7,248,240.023
8,216,240.023
9,252,240.023
10,223,240.023
11,221,240.023
12,228,240.023
13,235,240.023
14,225,240.023
15,262,240.023
16,236,240.023
17,244,240.023
18,246,240.023
19,240,240.023
20,245,240.023
21,248,240.023
22,247,240.023
23,223,240.023
24,265,240.023
25,264,240.023
26,261,240.023
27,236,240.023
28,261,240.023
29,263,240.023
30,234,240.023
31,239,240.023
32,249,240.023
33,210,240.023
34,215,240.023
35,254,240.023
36,235,240.023
37,267,240.023
38,228,240.023
39,243,240.023
40,254,240.023
41,283,240.023
42,283,240.023
43,251,240.023
44,225,240.023
45,261,240.023
46,232,240.023
47,243,240.023
48,250,240.023
49,244,240.023
50,242,240.023
51,233,240.023
52,223,240.023
53,210,240.023
54,229,240.023
55,248,240.023
56,216,240.023
57,263,240.023
58,239,240.023
59,245,240.023
60,229,240.023
61,258,240.023
62,240,240.023
63,224,240.023
64,252,240.023
65,250,240.023
66,230,240.023
67,241,240.023
68,236,240.023
69,245,240.023
70,265,240.023
71,257,240.023
72,233,240.023
73,243,240.023
74,247,240.023
75,258,240.023
76,220,240.023
77,224,240.023
78,236,240.023
79,230,240.023
80,214,240.023
81,253,240.023
82,230,240.023
83,232,240.023
84,210,240.023
85,232,240.023
86,227,240.023
87,237,240.023
88,220,240.023
89,241,240.023
90,267,240.023
91,208,240.023
92,258,240.023
93,223,240.023
94,270,240.023
95,254,240.023
96,236,240.023
97,248,240.023
98,240,240.023
99,240,240.023
100,217,240.023
101,260,240.023
102,240,240.023
103,228,240.023
104,232,240.023
105,244,240.023
106,243,240.023
107,238,240.023
108,246,240.023
109,232,240.023
110,251,240.023
111,221,240.023
112,235,240.023
113,237,240.023
114,230,240.023
115,252,240.023
116,236,240.023
117,235,240.023
118,241,240.023
119,217,240.023
120,244,240.023
121,242,240.023
122,222,240.023
123,239,240.023
124,244,240.023
125,236,240.023
126,226,240.023
127,230,240.023
