Input, OSD0, OSD1, OSD2
0,36,28,15
1,80,57,67
2,63,122,48
3,121,36,22
4,61,109,33
5,45,83,108
6,66,55,45
7,115,9,124
8,115,85,45
9,123,27,47
10,4,59,51
11,49,111,98
12,103,122,76
13,51,120,25
14,105,34,45
15,18,7,127
16,25,45,60
17,75,125,45
18,69,90,101
19,116,12,89
20,29,116,57
21,14,17,55
22,42,15,51
23,9,103,65
24,83,88,17
25,28,19,117
26,42,117,51
27,122,34,60
28,97,0,60
29,23,8,127
30,114,20,11
31,89,61,19
32,71,114,93
33,112,35,126
34,124,82,62
35,78,22,88
36,10,82,125
37,0,53,47
38,13,109,72
39,125,28,43
40,81,42,56
41,63,33,86
42,13,60,103
43,76,125,36
44,121,16,7
45,109,80,126
46,34,125,8
47,33,86,10
48,12,112,40
49,72,88,66
50,127,85,90
51,103,44,25
52,108,93,40
53,14,117,31
54,18,77,28
55,69,113,0
56,114,36,91
57,70,26,76
58,109,97,87
59,15,48,113
60,85,125,106
61,88,61,52
62,75,116,1
63,28,21,62
64,84,33,88
65,52,92,28
66,10,69,59
67,38,29,121
68,117,33,122
69,54,66,83
70,37,43,120
71,2,30,20
72,69,41,85
73,3,41,56
74,44,31,32
75,34,31,52
76,61,1,55
77,59,83,124
78,110,31,78
79,11,52,104
80,0,14,24
81,5,15,114
82,27,94,74
83,33,97,57
84,68,2,31
85,82,123,18
86,121,119,35
87,6,43,64
88,38,65,5
89,61,39,125
90,22,27,5
91,74,18,7
92,3,44,10
93,36,111,96
94,103,42,55
95,96,62,67
96,104,94,30
97,35,76,93
98,73,26,38
99,32,50,6
100,6,58,92
101,56,99,5
102,15,43,21
103,66,47,51
104,88,69,74
105,7,63,109
106,28,66,44
107,51,65,73
108,20,75,104
109,83,2,116
110,104,98,22
111,76,61,68
112,124,29,107
113,69,103,114
114,46,31,115
115,93,31,57
116,111,86,16
117,123,25,67
118,114,34,19
119,9,53,77
120,108,42,93
121,4,17,96
122,115,89,3
123,41,57,36
124,80,9,7
125,66,16,121
126,70,58,108
127,32,79,118
128,11,18,89
129,112,3,123
130,118,75,87
131,76,104,98
132,41,60,88
133,77,27,17
134,7,20,75
135,10,56,73
136,65,113,34
137,62,64,31
138,54,127,18
139,42,37,127
140,108,49,101
141,68,126,1
142,52,78,67
143,30,93,47
144,65,115,37
145,69,84,61
146,38,70,107
147,97,18,78
148,121,29,32
149,9,91,33
150,98,24,83
151,8,31,99
152,103,10,75
153,124,79,85
154,78,87,5
155,77,92,20
156,94,51,9
157,127,52,116
158,120,18,41
159,43,60,113
160,86,67,114
161,3,103,122
162,117,104,72
163,32,58,75
164,108,88,42
165,19,101,105
166,2,38,61
167,44,85,24
168,52,37,112
169,51,83,6
170,1,90,62
171,31,54,112
172,0,22,35
173,51,40,115
174,57,71,16
175,72,97,33
176,37,77,91
177,106,120,85
178,26,0,49
179,93,103,82
180,101,45,17
181,69,5,8
182,68,11,90
183,40,49,74
184,12,66,81
185,121,20,27
186,67,72,51
187,73,57,94
188,34,54,65
189,55,60,37
190,107,56,54
191,106,19,117
192,47,90,38
193,98,4,23
194,7,76,66
195,16,60,95
196,123,96,3
197,71,104,7
198,57,32,48
199,95,120,81
200,35,108,63
201,37,60,116
202,65,46,83
203,125,19,86
204,42,86,117
205,4,22,26
206,49,39,92
207,101,42,79
208,29,1,59
209,95,111,1
210,50,47,10
211,11,58,50
212,93,12,0
213,33,52,70
214,27,117,122
215,34,79,69
216,82,0,126
217,53,88,84
