obj,pv
0,0
1,0
2,6.15612e+08
3,0
4,0
5,5.1289e+08
6,0
7,0
8,1.23156e+09
9,0
10,0
11,4.0253e+08
12,2.05646e+08
13,0
14,1.9749e+09
15,0
16,7.53816e+06
17,4.84592e+08
18,0
19,0
20,0
21,0
22,0
23,0
24,1.35914e+09
25,5.94086e+08
26,1.22966e+09
27,0
28,0
29,3.97299e+06
30,0
31,1.70541e+09
32,1.0504e+09
33,1.67145e+09
34,0
35,0
36,1.44173e+09
37,0
38,3.95266e+08
39,0
40,0
41,0
42,1.08165e+08
43,4.40495e+08
44,0
45,6.36283e+08
46,1.15323e+09
47,7.42015e+08
48,1.75767e+09
49,1.05831e+09
50,1.4717e+09
51,0
52,2.12571e+09
53,0
54,1.25561e+09
55,0
56,0
57,1.46066e+09
58,1.69045e+09
59,0
60,1.70206e+09
61,1.99123e+09
62,1.38195e+09
63,1.71623e+09
64,0
65,0
66,2.02034e+09
67,0
68,4.31106e+08
69,2.09473e+09
70,1.13676e+09
71,0
72,1.38603e+09
73,1.30443e+09
74,0
75,0
76,0
77,0
78,0
79,0
80,9.97216e+07
81,5.36307e+08
82,1.31094e+09
83,2.99741e+08
84,6.80027e+08
85,1.27719e+08
86,1.55607e+09
87,1.89745e+09
88,0
89,1.57725e+09
90,1.45445e+09
91,0
92,1.74697e+09
93,0
94,1.33456e+09
95,7.79771e+08
96,5.23819e+08
97,1.93044e+09
98,6.89189e+07
99,0
100,0
101,1.74984e+09
102,2.26709e+08
103,0
104,0
105,1.69545e+09
106,0
107,1.94374e+09
108,4.35489e+08
109,4.79926e+08
110,1.88378e+08
111,6.55625e+08
112,0
113,0
114,0
115,0
116,0
117,2.04199e+08
118,0
119,9.05433e+08
120,7.53898e+08
121,3.14762e+08
122,1.93701e+09
123,1.32702e+09
124,0
125,0
126,0
127,0
128,0
129,4.46838e+08
130,1.82135e+09
131,0
132,0
133,4.9694e+08
134,0
135,0
136,1.02346e+09
137,0
138,0
139,7.82975e+07
140,7.26323e+08
141,2.01264e+09
142,0
143,0
144,0
145,1.589e+09
146,1.99813e+09
147,0
148,1.58653e+09
149,1.66695e+08
150,1.07382e+08
151,0
152,1.94329e+09
153,1.83384e+09
154,2.64129e+07
155,1.4516e+09
156,5.14533e+08
157,2.09005e+09
158,1.79315e+09
159,0
160,3.09786e+08
161,8.21814e+08
162,0
163,1.7001e+09
164,0
165,1.06737e+09
166,1.88155e+09
167,1.64495e+09
168,2.48898e+08
169,0
170,7.72971e+08
171,1.77346e+09
172,0
173,1.00825e+09
174,1.07593e+09
175,1.07351e+09
176,2.12418e+09
177,1.18706e+09
178,4.7102e+08
179,0
180,1.5224e+09
181,0
182,1.77541e+09
183,0
184,1.73618e+09
185,5.46183e+08
186,1.28666e+09
187,0
188,0
189,0
190,0
191,1.05393e+09
192,1.05938e+09
193,0
194,9.46583e+08
195,1.5733e+09
196,1.58744e+09
197,1.99915e+09
198,0
199,0
200,0
201,1.10257e+09
202,0
203,0
204,8.44987e+08
205,0
206,1.52038e+09
207,1.37489e+09
208,0
209,1.29722e+09
210,2.05736e+09
211,9.52778e+08
212,1.89861e+09
213,0
214,1.92675e+09
215,0
216,5.08673e+08
217,9.52171e+08
218,0
219,1.87866e+09
220,3.28507e+08
221,0
222,0
223,1.01938e+09
224,0
225,1.41095e+09
226,0
227,0
228,1.92246e+09
229,8.43309e+08
230,0
231,1.2745e+09
232,8.26816e+08
233,5.84786e+08
234,1.42822e+09
235,1.65416e+09
236,0
237,6.46779e+08
238,1.60479e+09
239,0
240,1.52257e+09
241,1.99207e+09
242,0
243,1.51798e+09
244,1.88507e+09
245,9.11377e+08
246,0
247,5.29356e+08
248,1.64762e+09
249,8.02627e+08
250,0
251,8.35092e+08
252,0
253,1.62284e+09
254,0
255,1.58811e+09
256,0
257,1.68423e+08
258,1.31628e+09
259,4.14083e+08
260,3.67951e+08
261,9.38281e+08
262,1.94876e+09
263,5.07127e+08
264,0
265,0
266,1.10365e+09
267,1.32021e+09
268,0
269,0
270,1.87043e+09
271,9.32917e+08
272,1.40935e+09
273,0
274,5.70396e+08
275,7.68995e+08
276,1.06021e+07
277,1.55904e+09
278,1.87546e+09
279,4.06882e+08
280,9.42389e+08
